%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1713690045568243151,11335,1713690044954898040,uav37/gps_garmin_origin,uav37/fcu,-36.84102513225687,11.95820072860052,0.06340088546861174,-0.008832167378841358,0.08117192435518443,0.41519625766045365,0.9060602589800077,0.002485472905776184,0.0,0.0,0.0,0.0,0.0,0.0,0.002485472905776184,0.0,0.0,0.0,0.0,0.0,0.0,0.03965611259524575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01705911742010443,0.008957510324188175,-0.011385055816079737,-0.00017913916963152587,-0.0004415980365592986,0.000339456630172208,0.44276560648287655,0.0,0.0,0.0,0.0,0.0,0.0,0.4427656064807169,0.0,0.0,0.0,0.0,0.0,0.0,0.01644695860006987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045619370080,11346,1713690045064952445,uav37/gps_garmin_origin,uav37/fcu,-36.83937981720673,11.960155034129171,0.0634327990766319,-0.008833196951419545,0.08118770739024814,0.4151622227052901,0.9060744182873478,0.002305380992941671,0.0,0.0,0.0,0.0,0.0,0.0,0.00230538099294167,0.0,0.0,0.0,0.0,0.0,0.0,0.037391802935151874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020950076090211878,0.004930047332131605,-0.01038497185942133,0.00036954012466594577,-0.00019357592100277546,-0.00019880922627635297,0.4404465253919694,0.0,0.0,0.0,0.0,0.0,0.0,0.44044652539153134,0.0,0.0,0.0,0.0,0.0,0.0,0.016438283067005788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045619397884,11357,1713690045174950591,uav37/gps_garmin_origin,uav37/fcu,-36.83783855164618,11.960315379279573,0.06341797848655954,-0.008805959667151864,0.08118855139792427,0.415118561220385,0.9060946157519079,0.0023016171382550287,0.0,0.0,0.0,0.0,0.0,0.0,0.002301617138255028,0.0,0.0,0.0,0.0,0.0,0.0,0.03963274185083461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019326425522404878,-0.0011365233309607572,-0.00979319549194385,0.0002897843951359391,9.262327512260535e-05,0.0007149673765525222,0.4404471481860951,0.0,0.0,0.0,0.0,0.0,0.0,0.4404471481855135,0.0,0.0,0.0,0.0,0.0,0.0,0.016440026701412407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045783060093,11367,1713690045274958332,uav37/gps_garmin_origin,uav37/fcu,-36.83686547597543,11.960973742425905,0.06345142316574558,-0.008789772950102056,0.08118913638606154,0.4150797794842248,0.9061124965248234,0.0023006743977779824,0.0,0.0,0.0,0.0,0.0,0.0,0.0023006743977779832,0.0,0.0,0.0,0.0,0.0,0.0,0.03739567973599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018693268816879237,-0.002674245042244291,-0.009666738103930556,0.0007449216791428626,0.0001312191743636504,0.0002619443985167891,0.4404160952851957,0.0,0.0,0.0,0.0,0.0,0.0,0.44041609528487935,0.0,0.0,0.0,0.0,0.0,0.0,0.016440394062746513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045783118713,11378,1713690045384905111,uav37/gps_garmin_origin,uav37/fcu,-36.83569836852126,11.962405971340043,0.06343274682105099,-0.008796598054588147,0.08120088698375891,0.4150680286148522,0.9061167586108558,0.0023007598093410355,0.0,0.0,0.0,0.0,0.0,0.0,0.0023007598093410355,0.0,0.0,0.0,0.0,0.0,0.0,0.03963405620476426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019763063325270412,-0.002533662845700602,-0.009187649864800985,-0.0004083028179593384,4.3524476495804306e-05,0.00031950700213201344,0.4404033182999283,0.0,0.0,0.0,0.0,0.0,0.0,0.4404033182997822,0.0,0.0,0.0,0.0,0.0,0.0,0.016442138714638222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045886791367,11388,1713690045484892919,uav37/gps_garmin_origin,uav37/fcu,-36.835440956566245,11.962794990350716,0.06347491314701428,-0.008791268700119917,0.08119759308842396,0.41506838914784333,0.9061169275340071,0.0023010707698730205,0.0,0.0,0.0,0.0,0.0,0.0,0.002301070769873021,0.0,0.0,0.0,0.0,0.0,0.0,0.037725528930059746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016437087156031198,-0.0023863978333982902,-0.009163719164857318,-0.0003544050268828869,0.0004864135989919305,9.232315642293537e-05,0.44040153596867415,0.0,0.0,0.0,0.0,0.0,0.0,0.44040153596860454,0.0,0.0,0.0,0.0,0.0,0.0,0.014389759908856437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045974763383,11408,1713690045684892682,uav37/gps_garmin_origin,uav37/fcu,-36.8363220680368,11.962539489231721,0.06350799610111765,-0.008771717940051087,0.08116686377557375,0.41508234348667106,0.9061134813193239,0.002315623996123088,0.0,0.0,0.0,0.0,0.0,0.0,0.0023156239961230874,0.0,0.0,0.0,0.0,0.0,0.0,0.038029713501664814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007659991233302386,-0.0008559238828332787,-0.00953823943105788,0.0001694925012998283,-0.0001455089077353477,0.0005088374018669128,0.44042335323709364,0.0,0.0,0.0,0.0,0.0,0.0,0.44042335323707954,0.0,0.0,0.0,0.0,0.0,0.0,0.01644887183890602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690046002884323,11419,1713690045794894317,uav37/gps_garmin_origin,uav37/fcu,-36.83664205208234,11.962824134702785,0.06349464141828895,-0.008767571846134694,0.08117068428050858,0.41513231335219686,0.9060902899832838,0.002303613745605694,0.0,0.0,0.0,0.0,0.0,0.0,0.002303613745605694,0.0,0.0,0.0,0.0,0.0,0.0,0.042031708324492635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005747298711994755,0.00022766799514385076,-0.009226615381311294,0.000249214208452031,-2.4761977329035262e-05,0.00023099614190869033,0.4404894136031564,0.0,0.0,0.0,0.0,0.0,0.0,0.44048941360315064,0.0,0.0,0.0,0.0,0.0,0.0,0.01644096378369839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690046030131147,11429,1713690045894895899,uav37/gps_garmin_origin,uav37/fcu,-36.83580010078623,11.962857370178586,0.0635506352395559,-0.00875923491280934,0.0811864099152916,0.4151663718488211,0.9060733642533124,0.0023009231018333454,0.0,0.0,0.0,0.0,0.0,0.0,0.0023009231018333446,0.0,0.0,0.0,0.0,0.0,0.0,0.03836690817127581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006228739027785995,-0.0025664662140512883,-0.008263322284291497,-0.00022826231725048274,0.0003007370687555522,0.0005842887330800295,0.44043767921691584,0.0,0.0,0.0,0.0,0.0,0.0,0.44043767921691324,0.0,0.0,0.0,0.0,0.0,0.0,0.016444635959890982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690046167025694,11439,1713690045994953582,uav37/gps_garmin_origin,uav37/fcu,-36.8346765461335,11.963176023708264,0.06358498033979668,-0.008752498948969933,0.08120393166571165,0.4152080931279564,0.9060527295690014,0.0023017219830504753,0.0,0.0,0.0,0.0,0.0,0.0,0.002301721983050473,0.0,0.0,0.0,0.0,0.0,0.0,0.03712627480093368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007719941706009839,-0.004493540701249667,-0.007331354967295734,0.00031159273930825293,-0.0005098307738080621,-0.00032640912104398007,0.440427082043208,0.0,0.0,0.0,0.0,0.0,0.0,0.4404270820432065,0.0,0.0,0.0,0.0,0.0,0.0,0.01611759904921276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
